position		y	x
1		-25	365
2		-25	477
3		72	195
4		72	307
5		72	531
6		72	643
7		169	29
8		169	141
9		169	365
10		169	477
11		169	701
12		169	813
13		266	-27
14		266	197
15		266	309
16		266	533
17		266	645
18		266	869
19		363	29
20		363	141
21		363	365
22		363	477
23		363	701
24		363	813
25		460	-27
26		460	197
27		460	309
28		460	533
29		460	645
30		460	869
31		557	29
32		557	141
33		557	365
34		557	477
35		557	701
36		557	813
37		654	-27
38		654	197
39		654	309
40		654	533
41		654	645
42		654	869
43		751	29
44		751	141
45		751	365
46		751	477
47		751	701
48		751	813
49		848	197
50		848	309
51		848	533
52		848	645
53		945	365
54		945	477
